word,dialect,phonetic,mandarin,usage,english,iid
  ,茅草屋,miú qiē ǒ,茅屋,茅草等盖的,thatched cottage,0303
  ,火炉腹,fū lō bū,厨房,,kitchen,0304
,灶,jiē,灶,统称,kitchen range,0305
,铛,qié,锅,统称,wok,0306
 ,炆铛,wán qié,饭锅,煮饭的,rice cooker,0307
,铛,qié,菜锅,炒菜的,vegetable pot,0308
 ,屎坑,sī kiē,厕所,旧式的，统称,lavatory,0309
 ,柱头,cō toū,柱子,,pillar,0311
 ,大门,tò miān,大门,,gate,0312
 ,门槛,mián qiē,门槛儿,,doorsill,0313
 ,格子,gè zī,窗,旧式的,window,0314
,阶,gé,梯子,可移动的,ladder,0315
 ,扫把,xiē bō,扫帚,统称,broom,0316
 ,扫地,xiē taì,扫地,,sweep,0317
 ,龌龊,wǔ coū,垃圾,,litter,0318
 ,家什,gó sì,家具,统称,furniture,0319
 ,物什,wà sī,东西,我的～,stuff,0320
,床,cén,床,木制的，睡觉用,bed,1096
 ,头#7,toú guàn,枕头,,pillow,0323
,被,pā,被子,,quilt,0324
 ,被絮,pā xiè,棉絮,,batting,0325
 ,毯子,tō dē,床单,,bed sheets,0326
  ,垫被絮,tàn pā xiè,褥子,,mattress,0327
 ,席子,qiò lè,席子,,mats,0328
 ,帐子,zēn lè,蚊帐,,mosquito net,0329
 ,枱子,tá lē,桌子,统称,table,0330
,柜,kuaì,柜子,统称,cabinet,0331
 ,箱子,xín dē,抽屉,桌子的,drawer,0332
  ,交椅凳,jiú zī diān,椅子,统称,chair,0334
,凳,diān,凳子,统称,bench,0335
 ,菜刀,jiā diē,菜刀,,kitchen knife,0337
 ,瓢瓜,piaò guā,瓢,舀水的,dipper,0338
 ,缸瓮,gín mēn,缸,,crock,0339
 ,坛子,gě lē,坛子,装酒的～,jar,0340
 ,瓶子,pió lē,瓶子,装酒的～,bottle,0341
 ,盖盖,gē gē,盖子,杯子的～,lid,0342
,碗,yuē,碗,统称,bowl,0343
,箸,cò,筷子,,chopsticks,0344
 ,调羹,tiaò gīn,汤匙,,spoon,0345
,柴,cí,柴火,统称,firewood,0346
  ,自拿火,zí là hō,火柴,,match,0347
,锁,sē,锁,,lock,0348
 ,锁锁,sē sē,钥匙,,key,0349
 ,面盆,màn piān,脸盆,,washbasin,0351
  ,洗面水,sī màn suaī,洗脸水,,water for washing face,0352
 ,帕子,pō lè,毛巾,洗脸用,towel,0353
  ,手巾帕,soū jiān pō,手绢,,handkerchief,0354
 ,肥皂,feì zō,肥皂,洗衣服用,soap,0355
,梳,só,梳子,旧式的，不是篦子,comb,0356
 ,剪刀,zān diē,剪子,,scissors,0358
 ,蜡烛,lò jiē,蜡烛,,candle,0359
,伞,xiē,雨伞,挡雨的，统称,umbrella,0361
 ,单车,dié cō,自行车,,bicycle,0362
,衣,á,衣服,统称,clothes,0363
,着,zě,穿,～衣服,wear,0364
,解,gā,脱,～衣服,take off,0365
,捆,kǎ,系,～鞋带,tie,0366
  ,背褡衣,bē dō á,背心,带两条杠的，内衣,vest,0368
  ,绳子衣,sù zī á,毛衣,,sweater,0369
 ,棉衣,mán á,棉衣,,cotton-padded clothes,0370
 ,衣袖,á qiò,袖子,,sleeves,0371
 ,袋牯,tiǎ gō,口袋,衣服上的,pocket,0372
,裈,guán,裤子,,trousers,0373
  ,半截裈,bīn zī guán,短裤,外穿的,shorts,0374
 ,裈脚,guán jiē,裤腿,,trouser legs,0375
 ,帽子,miè lè,帽子,统称,hat,0376
 ,鞋子,há lē,鞋子,,shoes,0377
 ,水袜,suaī miàn,袜子,,socks,0378
 ,围裙,waí jiān,围裙,,apron,0380
  ,垫屎帕,tàn sī pō,尿布,,diaper,0381
 ,扣头,kuaī toū,扣子,,button,0382
,扣,kuaī,扣,～扣子,buckle,0383
 ,戒指,gā zī,戒指,,ring,0384
